subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
3,binocular,0,1,1,1.0,51,53,4,1,1,3.91695055027958,3.91695205948781,4,3,3
3,word,0,0,1,0.0,52,54,2,8,8,3.91697318851948,3.91696624603355,4,3,3
3,binocular,1,1,0,0.0,62,57,4,1,1,3.91694994654972,3.9169780179509,4,3,3
3,binocular,1,1,0,0.0,64,58,4,8,1,3.91694722993998,3.9169508520863,4,3,3
3,not studied,1,1,1,1.0,59,59,1,1,9,1.41689169075107,0.0,4,3,fNS
3,word,0,0,0,1.0,61,61,2,8,1,3.91697107552318,3.9169550778460702,4,3,3
3,word,1,1,0,0.0,63,62,2,8,8,3.91695356863784,3.91695266310126,4,3,3
3,not studied,0,0,0,1.0,57,64,1,9,9,0.0,0.0,4,fNS,fNS
3,binocular,1,1,0,0.0,66,67,4,8,1,3.91696081287228,3.91695900185732,5,3,3
3,not studied,0,1,1,1.0,65,68,1,9,4,0.0,3.91696956631495,5,fNS,0
3,binocular,1,1,0,0.0,67,69,4,8,8,3.91694873914821,3.91695296502439,5,3,3
3,not studied,0,0,1,0.0,68,70,1,9,9,0.0,0.0,5,fNS,fNS
3,word,1,1,1,1.0,69,71,2,1,1,3.91695900185732,3.91696081293048,5,3,3
3,binocular,1,1,1,1.0,78,73,4,1,1,3.91696624603355,3.91696292581037,5,3,3
3,word,0,1,0,0.0,77,74,2,4,1,3.916955379711,3.91696715157013,5,0,3
3,binocular,1,1,1,1.0,75,75,4,1,1,3.91697650874266,3.91695477598114,5,3,3
3,not studied,0,1,1,1.0,76,76,1,9,9,0.0,0.0,5,fNS,fNS
3,not studied,1,0,1,0.0,80,77,1,4,9,3.91695447417442,0.0,5,0,fNS
3,word,1,1,0,0.0,79,80,2,1,1,3.91696413315367,3.91696594422683,5,3,3
3,word,1,1,0,0.0,87,82,2,1,1,3.91699944884749,3.91697952715913,6,3,3
3,binocular,0,0,1,0.0,84,83,4,1,1,3.91701967234258,3.91696292581037,6,3,3
3,not studied,0,1,0,0.0,88,84,1,9,9,0.0,0.0,6,fNS,fNS
3,word,1,1,0,0.0,81,85,2,1,1,3.91699932113988,3.91698164003901,6,3,3
3,not studied,1,0,1,0.0,82,87,1,2,9,0.916888068721164,0.0,6,2,fNS
